created_at|latitude|longitude
2016-11-16 06:33:31|1.445209|103.813430
2016-11-16 06:34:02|1.445209|103.813430
2016-11-16 06:34:33|1.445281|103.813611
2016-11-16 06:35:06|1.445026|103.813796
2016-11-16 06:35:39|1.445209|103.813430
2016-11-16 06:35:59|1.445209|103.813430
2016-11-16 06:36:32|1.445272|103.813772
2016-11-16 06:37:04|1.444108|103.814823
2016-11-16 06:37:36|1.442789|103.815252
2016-11-16 06:38:06|1.440936|103.818096
2016-11-16 06:38:37|1.437518|103.821521
2016-11-16 06:39:09|1.435109|103.824827
2016-11-16 06:39:40|1.435285|103.825618
2016-11-16 06:40:01|1.435298|103.825614
2016-11-16 06:40:32|1.435344|103.825809
2016-11-16 06:41:04|1.432461|103.826722
2016-11-16 06:41:37|1.431355|103.826788
2016-11-16 06:42:09|1.429587|103.826892
2016-11-16 06:42:40|1.426489|103.826448
2016-11-16 06:43:01|1.426465|103.826425
2016-11-16 06:43:33|1.425356|103.825931
2016-11-16 06:44:05|1.421236|103.825071
2016-11-16 06:44:37|1.416842|103.824024
2016-11-16 06:45:10|1.414639|103.823478
2016-11-16 06:45:31|1.413743|103.823277
2016-11-16 06:46:03|1.413395|103.823173
2016-11-16 06:46:34|1.410706|103.822227
2016-11-16 06:47:05|1.407313|103.820588
2016-11-16 06:47:58|1.401909|103.817447
2016-11-16 06:48:29|1.398501|103.817599
2016-11-16 06:49:00|1.396871|103.818565
2016-11-16 06:49:21|1.396867|103.818565
2016-11-16 06:49:53|1.395677|103.818821
2016-11-16 06:50:24|1.392063|103.818555
2016-11-16 06:50:55|1.389279|103.818182
2016-11-16 06:51:26|1.387164|103.820155
2016-11-16 06:51:57|1.385455|103.822872
2016-11-16 06:52:29|1.383475|103.825556
2016-11-16 06:52:50|1.381698|103.826523
2016-11-16 06:53:22|1.379121|103.827821
2016-11-16 06:53:55|1.378644|103.829299
2016-11-16 06:54:26|1.379961|103.831257
2016-11-16 06:54:57|1.380784|103.833123
2016-11-16 06:55:29|1.382259|103.835859
2016-11-16 06:55:59|1.384152|103.836996
2016-11-16 06:56:21|1.384493|103.836809
2016-11-16 06:56:53|1.385672|103.836189
2016-11-16 06:57:25|1.386001|103.836361
2016-11-16 06:57:56|1.386001|103.836361
2016-11-16 06:58:27|1.386002|103.836361
2016-11-16 06:58:58|1.386002|103.836361
2016-11-16 06:59:29|1.386003|103.836361
2016-11-16 07:00:00|1.386003|103.836361
2016-11-16 07:00:22|1.386003|103.836361
2016-11-16 07:00:53|1.386003|103.836361
2016-11-16 07:01:25|1.386003|103.836360
2016-11-16 07:01:56|1.386003|103.836360
2016-11-16 07:02:28|1.386003|103.836360
2016-11-16 07:02:58|1.386003|103.836359
2016-11-16 07:03:29|1.386938|103.837085
2016-11-16 07:03:51|1.387920|103.837238
2016-11-16 07:04:23|1.388718|103.836940
2016-11-16 07:04:53|1.389989|103.836468
2016-11-16 07:05:26|1.389182|103.834770
2016-11-16 07:05:47|1.388048|103.834296
2016-11-16 07:06:27|1.388668|103.834473
2016-11-16 07:06:57|1.389675|103.835275
2016-11-16 07:07:29|1.390076|103.836757
2016-11-16 07:08:00|1.388562|103.837664
2016-11-16 07:08:21|1.387479|103.838430
2016-11-16 07:08:52|1.386389|103.839206
2016-11-16 07:09:24|1.386377|103.839187
2016-11-16 07:09:57|1.387104|103.840716
2016-11-16 07:10:30|1.387405|103.841116
2016-11-16 07:10:51|1.387467|103.841213
2016-11-16 07:11:23|1.387298|103.841881
2016-11-16 07:11:54|1.384511|103.842965
2016-11-16 07:12:26|1.382383|103.843790
2016-11-16 07:12:57|1.381354|103.844174
2016-11-16 07:13:28|1.381340|103.844163
2016-11-16 07:14:00|1.381260|103.844193
2016-11-16 07:14:22|1.379235|103.844542
2016-11-16 07:14:53|1.377070|103.844786
2016-11-16 07:15:25|1.373332|103.845249
2016-11-16 07:15:57|1.369959|103.845538
2016-11-16 07:16:29|1.367492|103.844991
2016-11-16 07:16:50|1.366263|103.844139
2016-11-16 07:17:21|1.364731|103.843229
2016-11-16 07:17:52|1.364744|103.843257
2016-11-16 07:18:23|1.364743|103.843255
2016-11-16 07:18:55|1.364729|103.843243
2016-11-16 07:19:26|1.362995|103.842626
2016-11-16 07:19:58|1.361366|103.842139
2016-11-16 07:20:28|1.361332|103.842132
2016-11-16 07:21:00|1.361332|103.842131
2016-11-16 07:21:21|1.360309|103.841801
2016-11-16 07:21:53|1.356834|103.841579
2016-11-16 07:22:25|1.353319|103.840706
2016-11-16 07:22:57|1.351935|103.840089
2016-11-16 07:23:28|1.351890|103.840083
2016-11-16 07:23:59|1.351211|103.839913
2016-11-16 07:24:21|1.350037|103.839727
2016-11-16 07:24:53|1.347665|103.839437
2016-11-16 07:25:24|1.344437|103.839054
2016-11-16 07:25:56|1.341574|103.839596
2016-11-16 07:26:30|1.340454|103.839050
2016-11-16 07:26:51|1.339304|103.837679
2016-11-16 07:27:22|1.339257|103.837696
2016-11-16 07:27:54|1.339212|103.837679
2016-11-16 07:28:24|1.338551|103.837398
2016-11-16 07:28:55|1.336117|103.837158
2016-11-16 07:29:27|1.332857|103.838277
2016-11-16 07:29:58|1.330528|103.839222
2016-11-16 07:30:20|1.330530|103.839213
2016-11-16 07:30:53|1.330405|103.839298
2016-11-16 07:31:24|1.328156|103.840967
2016-11-16 07:31:57|1.325639|103.842076
2016-11-16 07:32:30|1.323327|103.841802
2016-11-16 07:32:50|1.321531|103.841892
2016-11-16 07:33:23|1.319829|103.843118
2016-11-16 07:33:55|1.318939|103.843852
2016-11-16 07:34:27|1.316628|103.844768
2016-11-16 07:34:52|1.316380|103.844941
2016-11-16 07:35:23|1.313594|103.845969
2016-11-16 07:35:54|1.311312|103.847969
2016-11-16 07:36:25|1.309316|103.847543
2016-11-16 07:36:57|1.308057|103.847480
2016-11-16 07:37:29|1.306295|103.849405
2016-11-16 07:38:00|1.304758|103.851468
2016-11-16 07:38:21|1.304237|103.852547
2016-11-16 07:38:53|1.304220|103.852532
2016-11-16 07:39:26|1.303595|103.853810
2016-11-16 07:39:57|1.302523|103.856192
2016-11-16 07:40:28|1.300023|103.859157
2016-11-16 07:41:00|1.296054|103.861146
2016-11-16 07:41:21|1.293608|103.862195
2016-11-16 07:41:52|1.290128|103.861953
2016-11-16 07:42:23|1.285527|103.861633
2016-11-16 07:42:55|1.280958|103.860378
2016-11-16 07:43:27|1.278813|103.858995
2016-11-16 07:43:59|1.278241|103.858593
2016-11-16 07:44:21|1.276563|103.857622
2016-11-16 07:44:54|1.277388|103.855986
2016-11-16 07:45:26|1.279236|103.853166
2016-11-16 07:45:59|1.280501|103.851126
2016-11-16 07:46:30|1.280670|103.850740
2016-11-16 07:46:51|1.280580|103.850697
2016-11-16 07:47:22|1.280528|103.850655
2016-11-16 07:47:54|1.281913|103.850803
2016-11-16 07:48:26|1.282038|103.851223
2016-11-16 07:48:58|1.284148|103.852689
2016-11-16 07:49:30|1.285134|103.852316
2016-11-16 07:49:57|1.284938|103.852115
2016-11-16 07:50:27|1.284750|103.851020
2016-11-16 07:51:00|1.284424|103.849773
2016-11-16 07:51:00|1.284424|103.849773
2016-11-16 07:51:53|1.283041|103.850046
2016-11-16 07:52:24|1.281822|103.851961
2016-11-16 07:52:56|1.280469|103.851325
2016-11-16 07:53:27|1.280340|103.850951
2016-11-16 07:54:00|1.281164|103.849584
2016-11-16 07:54:20|1.281582|103.849258
2016-11-16 07:54:53|1.282084|103.848682
2016-11-16 07:55:24|1.282367|103.848204
2016-11-16 07:55:55|1.283597|103.846109
2016-11-16 07:56:26|1.281305|103.844733
2016-11-16 07:56:57|1.279868|103.844592
2016-11-16 07:56:57|1.279868|103.844592
2016-11-16 07:57:59|1.278042|103.846067
2016-11-16 07:57:59|1.278042|103.846067
2016-11-16 07:58:51|1.277277|103.846658
2016-11-16 07:59:22|1.275786|103.847622
2016-11-16 07:59:57|1.274341|103.846942
2016-11-16 08:00:27|1.273870|103.846266
2016-11-16 08:01:00|1.273174|103.845818
2016-11-16 08:01:21|1.272824|103.848529
2016-11-16 08:01:52|1.273326|103.852863
2016-11-16 08:02:24|1.270807|103.856861
2016-11-16 08:02:24|1.270807|103.856861
2016-11-16 08:03:28|1.279469|103.864924
2016-11-16 08:03:50|1.279469|103.864924
2016-11-16 08:03:50|1.279469|103.864924
2016-11-16 08:04:41|1.279469|103.864924
2016-11-16 08:05:11|1.279469|103.864924
2016-11-16 08:05:53|1.296945|103.877608
